pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-msw8c-22860,task,PROJECT_18,ns-7887,TEAM_9,2024-10-16 16:29:50+00:00,2024-10-17 04:31:50+00:00,8,722,3,54.0824,A100,n
run-pipeline-gpu-dih4v-14469,task,PROJECT_18,ns-2317,TEAM_5,2024-11-04 01:28:50+00:00,2024-11-05 07:11:50+00:00,3,1783,5,82.3586,A30,n
run-pipeline-gpu-1sbxv-32053,task,PROJECT_12,ns-18140,TEAM_5,2024-10-24 15:06:50+00:00,2024-10-24 22:07:50+00:00,3,421,4,68.5857,A100,n
run-pipeline-gpu-02nl5-12937,task,PROJECT_13,ns-21292,TEAM_8,2024-11-02 15:32:50+00:00,2024-11-03 12:26:50+00:00,2,1254,2,34.4953,A100,n
run-pipeline-gpu-byczm-27530,task,PROJECT_7,ns-31744,TEAM_1,2024-11-01 19:49:50+00:00,2024-11-02 15:09:50+00:00,6,1160,2,34.4403,A100,n
run-pipeline-gpu-va72w-8182,task,PROJECT_8,ns-26807,TEAM_5,2024-10-16 23:59:50+00:00,2024-10-17 10:17:50+00:00,5,618,5,87.4079,A100,n
run-pipeline-gpu-z1n7i-8705,task,PROJECT_16,ns-17762,TEAM_2,2024-10-20 00:15:50+00:00,2024-10-20 21:17:50+00:00,4,1262,2,24.0386,A100,y
run-pipeline-gpu-3eyul-26946,task,PROJECT_16,ns-1127,TEAM_4,2024-10-26 19:12:50+00:00,2024-10-29 03:02:50+00:00,3,3350,3,40.8172,A100,n
run-pipeline-gpu-0hbva-28240,task,PROJECT_1,ns-28400,TEAM_9,2024-10-16 20:40:50+00:00,2024-10-17 00:59:50+00:00,2,259,4,69.6592,A100,n
run-pipeline-gpu-w1o9t-21476,task,PROJECT_4,ns-17922,TEAM_8,2024-10-29 15:44:50+00:00,2024-10-31 18:25:50+00:00,6,3041,3,46.6829,A100,n
run-pipeline-gpu-hlsyn-28029,task,PROJECT_2,ns-20785,TEAM_9,2024-10-20 10:35:50+00:00,2024-10-21 08:47:50+00:00,6,1332,3,46.2257,A100,n
run-pipeline-gpu-ehlsa-10443,instance,PROJECT_12,ns-13640,TEAM_5,2024-10-24 16:06:50+00:00,2024-10-26 12:21:50+00:00,3,2655,5,88.4196,A30,n
run-pipeline-gpu-4821b-18040,task,PROJECT_13,ns-7262,TEAM_3,2024-11-03 11:35:50+00:00,2024-11-04 02:21:50+00:00,6,886,3,50.0478,A100,n
run-pipeline-gpu-lun2a-30731,instance,PROJECT_11,ns-27182,TEAM_2,2024-10-23 12:42:50+00:00,2024-10-24 22:50:50+00:00,8,2048,3,51.6936,A100,n
run-pipeline-gpu-peadd-13293,task,PROJECT_11,ns-15026,TEAM_7,2024-11-07 09:50:50+00:00,2024-11-07 16:50:50+00:00,4,420,2,20.8409,A100,n
run-pipeline-gpu-bdtj6-11738,instance,PROJECT_19,ns-3659,TEAM_4,2024-10-19 21:32:50+00:00,2024-10-20 05:37:50+00:00,8,485,5,81.9648,A100,n
run-pipeline-gpu-3isj5-12628,task,PROJECT_7,ns-7679,TEAM_8,2024-11-05 06:41:50+00:00,2024-11-05 06:48:50+00:00,8,7,5,96.406,A100,y
run-pipeline-gpu-sda52-27837,task,PROJECT_4,ns-11153,TEAM_9,2024-11-04 20:32:50+00:00,2024-11-05 18:54:50+00:00,8,1342,3,45.0356,A100,n
run-pipeline-gpu-7imxz-24395,instance,PROJECT_2,ns-3202,TEAM_1,2024-10-30 13:45:50+00:00,2024-10-31 07:34:50+00:00,8,1069,2,35.1759,A100,n
run-pipeline-gpu-evbx7-24828,instance,PROJECT_14,ns-31805,TEAM_5,2024-10-23 10:09:50+00:00,2024-10-25 19:53:50+00:00,1,3464,5,88.9753,A100,n
run-pipeline-gpu-7yfzi-29478,task,PROJECT_15,ns-16633,TEAM_6,2024-10-25 05:04:50+00:00,2024-10-26 13:29:50+00:00,3,1945,4,77.881,A100,n
run-pipeline-gpu-36u4a-348,task,PROJECT_2,ns-12306,TEAM_6,2024-10-17 22:30:50+00:00,2024-10-19 19:10:50+00:00,7,2680,2,38.2397,A100,y
