job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1508364558011_27835,0.0,6899.0,1,any,False
ph-application_1508364558011_27886,6691.0,30.0,8,any,False
ph-application_1508364558011_27924,18113.0,1699.0,1,any,False
ph-application_1508364558011_27933,21260.0,56.0,1,any,False
ph-application_1508364558011_27953,24861.0,1101.0,1,any,False
ph-application_1508364558011_27958,25462.0,62.0,1,any,False
ph-application_1508364558011_28027,43462.0,63.0,1,any,False
ph-application_1508364558011_28089,62378.0,464.0,4,any,False
ph-application_1508364558011_28094,63325.0,21.0,2,any,False
ph-application_1508364558011_28136,77064.0,51.0,1,any,False
ph-application_1508364558011_28143,80062.0,59.0,1,any,False
ph-application_1508364558011_28153,82463.0,57.0,1,any,False
ph-application_1508364558011_28193,91461.0,64.0,1,any,False
ph-application_1508364558011_28201,93263.0,53.0,1,any,False
ph-application_1508364558011_28245,98063.0,63.0,1,any,False
ph-application_1508364558011_28257,99767.0,49.0,1,any,True
ph-application_1508364558011_28272,102263.0,71.0,1,any,False
ph-application_1508364558011_28319,110758.0,10.0,2,any,False
ph-application_1508364558011_28327,112463.0,75.0,1,any,False
ph-application_1508364558011_28399,119544.0,79.0,1,any,False
ph-application_1508364558011_28411,121052.0,60.0,1,any,False
ph-application_1508364558011_28494,138263.0,63.0,1,any,False
ph-application_1508364558011_28499,140662.0,71.0,1,any,False
ph-application_1508364558011_28507,142829.0,7077.0,1,any,True
ph-application_1508364558011_28520,144294.0,7169.0,1,any,False
ph-application_1508364558011_28529,144322.0,7198.0,1,any,False
ph-application_1508364558011_28545,146002.0,317.0,8,any,True
ph-application_1508364558011_28575,150571.0,1392.0,8,any,False
ph-application_1508364558011_28580,150829.0,175.0,1,any,False
ph-application_1508364558011_28614,155663.0,71.0,1,any,False
ph-application_1508364558011_28621,158064.0,66.0,1,any,False
ph-application_1508364558011_28654,165263.0,69.0,1,any,False
ph-application_1508364558011_28672,166730.0,36.0,8,any,False
ph-application_1508364558011_28695,167522.0,4497.0,8,any,False
ph-application_1508364558011_28711,168589.0,29.0,1,any,False
ph-application_1508364558011_28753,171593.0,29.0,8,any,False
ph-application_1508364558011_28806,176282.0,277.0,1,any,True
ph-application_1508364558011_28841,178462.0,200.0,1,any,False
ph-application_1508364558011_28939,191662.0,1659.0,1,any,False
ph-application_1508364558011_29004,200241.0,23.0,1,any,False
ph-application_1508364558011_29010,200248.0,122.0,4,any,False
ph-application_1508364558011_29174,205849.0,3535.0,8,any,False
ph-application_1508364558011_29183,207262.0,76.0,1,any,False
ph-application_1508364558011_29239,212837.0,785.0,4,any,False
