gpu,kind,policy,q_p50,q_max,fair_p1,lt50_pct,alloc_avg,gini_wait,p99_p50
256,single,fifo,5789796,12976272,100.0,0.0,91.9,0.3576,2.23
256,single,sjf,880,12263437,0.0,5.819,96.7,0.9539,13336.36
256,single,las,1457532,10996664,0.0,8.074,99.3,0.4538,7.38
256,single,kueue,18756,12169394,0.0,7.238,98.0,0.917,605.26
256,single,easy,5002163,12311056,0.0,4.392,92.2,0.4027,2.43
256,single,themis,3524,12026756,0.0,6.351,96.8,0.9443,3082.09
256,single,sfqa,4387370,11245806,88.8,0.0,97.6,0.3881,2.54
256,single,sfqa-auto,5022840,11924877,93.5,0.001,96.0,0.3843,2.36
256,single,fgd,1046768,11003042,0.0,8.126,99.4,0.5197,10.28
256,single,lucid,2222,8313383,0.0,3.439,99.4,0.943,2179.11
256,hetero,fifo,8602820,19714515,100.0,0.0,92.4,0.356,2.28
256,hetero,sjf,1610,17852587,0.0,7.544,97.6,0.9392,10018.19
256,hetero,las,2949960,17055730,0.0,8.152,99.4,0.371,5.62
256,hetero,kueue,107608,18088392,0.0,9.58,98.9,0.8739,158.02
256,hetero,easy,6656917,18657152,0.0,5.21,92.6,0.4146,2.76
256,hetero,themis,6567,17823560,0.0,7.299,97.5,0.9326,2309.13
256,hetero,sfqa,7536426,17270689,83.1,0.002,98.1,0.4117,2.28
256,hetero,sfqa-auto,7987526,18478981,94.9,0.0,96.5,0.3804,2.3
256,hetero,fgd,3236822,17046610,0.0,8.135,99.5,0.3767,5.12
256,hetero,lucid,2208,8717135,0.0,3.348,99.3,0.9499,3027.19
512,single,fifo,1584772,3028354,100.0,0.0,92.0,0.3549,1.9
512,single,sjf,27,5570446,30.8,1.044,93.8,0.9796,99216.39
512,single,las,130354,3074074,5.2,3.835,98.0,0.7054,22.67
512,single,kueue,2068,4895678,0.0,3.776,95.4,0.9436,1909.42
512,single,easy,1337950,2773037,0.0,3.435,92.7,0.4106,2.03
512,single,themis,378,4439948,7.9,1.731,94.3,0.9677,7664.81
512,single,sfqa,1225670,2502529,78.9,0.011,97.1,0.363,1.94
512,single,sfqa-auto,1472840,2665658,92.7,0.002,95.2,0.3447,1.78
512,single,fgd,75552,2958072,0.0,4.505,98.0,0.761,36.48
512,single,lucid,0,818244,97.0,0.0,84.9,0.9291,0.0
512,hetero,fifo,2970023,6314537,100.0,0.0,92.6,0.3589,2.11
512,hetero,sjf,104,8422496,0.0,2.207,94.4,0.9732,61884.87
512,hetero,las,249275,5545230,0.0,7.388,98.9,0.6901,21.77
512,hetero,kueue,10190,7085738,0.0,5.399,97.0,0.9245,636.5
512,hetero,easy,2406382,5917100,0.0,4.503,93.2,0.4185,2.43
512,hetero,themis,1032,7020960,0.0,2.571,95.3,0.9636,5886.51
512,hetero,sfqa,2253537,5425920,86.4,0.012,97.3,0.3832,2.37
512,hetero,sfqa-auto,2635552,5836900,92.7,0.004,95.6,0.3781,2.2
512,hetero,fgd,175578,5576667,0.0,5.235,98.7,0.724,31.09
512,hetero,lucid,467,3772072,71.8,0.322,95.2,0.9083,1248.3
1024,single,fifo,2,98624,100.0,0.0,76.7,0.8061,43595.5
1024,single,sjf,2,210894,98.9,0.0,76.4,0.9526,5164.5
1024,single,las,2,127586,99.6,0.0,76.4,0.9192,11942.5
1024,single,kueue,2,224478,99.5,0.0,76.6,0.9357,7971.0
1024,single,easy,2,85700,99.5,0.0,77.1,0.8538,37687.0
1024,single,themis,2,162060,99.2,0.0,76.5,0.9364,5437.75
1024,single,sfqa,2,94435,99.9,0.0,76.8,0.8247,36752.0
1024,single,sfqa-auto,2,102228,100.0,0.0,76.6,0.8017,45416.5
1024,single,fgd,2,130571,99.6,0.0,76.3,0.919,11723.0
1024,single,lucid,0,2,100.0,0.0,48.3,0.7479,0.0
1024,hetero,fifo,180065,528892,100.0,0.0,88.7,0.4506,2.83
1024,hetero,sjf,3,993736,93.8,0.0,89.3,0.9619,24458.65
1024,hetero,las,3170,529012,86.9,0.0,89.5,0.7772,101.54
1024,hetero,kueue,4,1184020,75.9,0.0,89.4,0.951,172213.62
1024,hetero,easy,65256,439664,94.8,0.0,89.0,0.589,6.18
1024,hetero,themis,4,802961,90.6,0.0,89.2,0.9476,55192.75
1024,hetero,sfqa,123153,489230,97.3,0.0,89.6,0.4919,3.45
1024,hetero,sfqa-auto,167534,527258,98.2,0.0,89.2,0.4539,2.94
1024,hetero,fgd,3308,501194,87.0,0.0,89.4,0.7755,90.39
1024,hetero,lucid,0,24609,100.0,0.0,58.7,0.988,0.0
