policy,n,q_p50,q_max,fair_mean,fair_p1,lt50_pct,alloc_avg
fifo,120079,12403124.0,23335826.5,100.0,100.0,0.0,75.7
sjf,120079,2.0,22489094.0,93.9,0.0,6.04,74.9
las,120079,2.0,21722644.5,89.3,0.0,10.55,80.8
kueue,120079,2.0,21722644.5,89.3,0.0,10.55,80.8
easy,120079,31776104.0,80082945.0,83.4,0.0,13.44,41.2
themis,120079,2.0,22827117.0,93.0,0.0,6.56,75.6
fgd,120079,2.0,22098221.0,88.9,0.0,10.97,76.2
lucid,120079,0.0,22965786.2,94.2,0.0,5.77,58.0
sfqa,120079,12069590.5,22926759.5,99.9,94.7,0.0,77.2
sfqa-auto,120079,12406406.0,23361435.0,100.0,99.9,0.0,76.1
