job_id,arrival_s,service_sec,gpu_count
ph-application_1501012364013_9680,0.0,172800.0,1
ph-application_1501012364013_13894,395146.0,14405.0,8
ph-application_1501012364013_16024,653039.0,172800.0,1
ph-application_1501012364013_19495,848110.0,100547.0,8
ph-application_1501012364013_19529,856059.0,172800.0,1
ph-application_1501012364013_19938,919602.0,172800.0,1
ph-application_1501012364013_19939,919603.0,172800.0,1
ph-application_1501012364013_19940,919605.0,172800.0,1
ph-application_1501012364013_20139,942224.0,172800.0,1
ph-application_1501012364013_20168,943109.0,172800.0,1
ph-application_1501012364013_20176,944915.0,172800.0,1
ph-application_1501012364013_21310,991037.0,172800.0,1
ph-application_1501012364013_21984,1192731.0,172800.0,8
ph-application_1501012364013_23411,1383483.0,172800.0,1
ph-application_1501012364013_23793,1439847.0,172800.0,4
ph-application_1501012364013_24154,1518251.0,172800.0,1
ph-application_1501012364013_25315,1715707.0,172800.0,8
ph-application_1501012364013_27012,1957575.0,7254.0,1
ph-application_1501012364013_26453,1883066.0,172800.0,1
ph-application_1501012364013_26537,1896859.0,172800.0,1
ph-application_1501012364013_26829,1932530.0,172800.0,1
ph-application_1501012364013_26860,1936720.0,172800.0,1
ph-application_1501012364013_27014,1957579.0,172800.0,1
ph-application_1501012364013_27017,1957591.0,172800.0,1
ph-application_1504131676014_0515,2105876.0,54209.0,4
ph-application_1501012364013_27386,2015231.0,172800.0,1
ph-application_1504131676014_0517,2105893.0,172800.0,2
ph-application_1504131676014_0557,2115827.0,172800.0,1
ph-application_1504131676014_0793,2140319.0,172800.0,4
ph-application_1504131676014_0836,2147884.0,172800.0,4
ph-application_1504131676014_1103,2190211.0,172800.0,2
ph-application_1504131676014_1104,2190282.0,172800.0,4
ph-application_1504131676014_1222,2212987.0,172800.0,1
ph-application_1504131676014_1370,2236152.0,172800.0,1
ph-application_1504131676014_1395,2236374.0,172800.0,1
ph-application_1504131676014_1397,2236385.0,172800.0,1
ph-application_1504131676014_1404,2236423.0,172800.0,1
ph-application_1504131676014_2141,2420860.0,172800.0,8
ph-application_1504131676014_2426,2492222.0,172800.0,8
ph-application_1504131676014_2739,2549845.0,172800.0,1
ph-application_1504131676014_3232,2616060.0,172800.0,8
ph-application_1504131676014_3286,2624489.0,172800.0,8
ph-application_1504131676014_3322,2630784.0,172800.0,1
ph-application_1504131676014_3356,2633528.0,172800.0,8
ph-application_1504131676014_3539,2656556.0,172800.0,1
ph-application_1504131676014_3747,2678089.0,172800.0,1
ph-application_1504131676014_3752,2679112.0,172800.0,1
ph-application_1504131676014_3754,2679422.0,172800.0,1
ph-application_1504131676014_3798,2705646.0,172800.0,1
ph-application_1504131676014_4045,2736820.0,172800.0,1
ph-application_1504131676014_4052,2737816.0,172800.0,1
ph-application_1504131676014_4140,2750300.0,172800.0,1
ph-application_1504131676014_4181,2753343.0,172800.0,1
ph-application_1504131676014_4182,2753346.0,172800.0,1
ph-application_1504131676014_4274,2766183.0,172800.0,1
ph-application_1504131676014_4368,2793720.0,172800.0,8
ph-application_1504131676014_5067,2927905.0,172800.0,1
ph-application_1504131676014_5104,2934285.0,172800.0,1
ph-application_1504131676014_5110,2934818.0,172800.0,1
ph-application_1504131676014_5111,2934823.0,172800.0,1
ph-application_1504131676014_5112,2934829.0,172800.0,1
ph-application_1504131676014_5114,2934839.0,172800.0,1
ph-application_1504131676014_5115,2934845.0,172800.0,1
ph-application_1504131676014_5116,2934850.0,172800.0,1
ph-application_1504131676014_5117,2934856.0,172800.0,1
ph-application_1504131676014_5120,2934872.0,172800.0,1
ph-application_1504131676014_5122,2934883.0,172800.0,1
ph-application_1504131676014_5123,2934888.0,172800.0,1
ph-application_1504131676014_5125,2934898.0,172800.0,1
ph-application_1504131676014_5127,2934910.0,172800.0,1
ph-application_1504131676014_5129,2934922.0,172800.0,1
ph-application_1504131676014_5132,2934938.0,172800.0,1
ph-application_1504131676014_5133,2934944.0,172800.0,1
ph-application_1504131676014_5136,2934960.0,172800.0,1
ph-application_1504131676014_5137,2934964.0,172800.0,1
ph-application_1504131676014_5138,2934969.0,172800.0,1
ph-application_1504131676014_5139,2934974.0,172800.0,1
ph-application_1504131676014_5140,2934979.0,172800.0,1
ph-application_1504131676014_5141,2934984.0,172800.0,1
ph-application_1504131676014_5142,2934990.0,172800.0,1
ph-application_1504131676014_5143,2934996.0,172800.0,1
ph-application_1504131676014_5144,2935002.0,172800.0,1
ph-application_1504131676014_5146,2935008.0,172800.0,1
ph-application_1504131676014_5150,2936195.0,172800.0,1
ph-application_1504131676014_5158,2936420.0,172800.0,1
ph-application_1504131676014_5162,2936440.0,172800.0,1
ph-application_1504131676014_5163,2936445.0,172800.0,1
ph-application_1504131676014_5165,2936455.0,172800.0,1
ph-application_1504131676014_5172,2936491.0,172800.0,1
ph-application_1504131676014_5174,2936501.0,172800.0,1
ph-application_1504131676014_5176,2936511.0,172800.0,1
ph-application_1504131676014_5178,2936520.0,172800.0,1
ph-application_1504131676014_5181,2936536.0,172800.0,1
ph-application_1504131676014_5182,2936540.0,172800.0,1
ph-application_1504131676014_5183,2936546.0,172800.0,1
ph-application_1504131676014_5184,2936551.0,172800.0,1
ph-application_1504131676014_5185,2936557.0,172800.0,1
ph-application_1504131676014_5190,2936582.0,172800.0,1
ph-application_1504131676014_5191,2936587.0,172800.0,1
ph-application_1504131676014_5192,2936592.0,172800.0,1
ph-application_1504131676014_6393,3085719.0,172800.0,8
ph-application_1504131676014_6506,3102527.0,172800.0,1
ph-application_1504131676014_6509,3102681.0,172800.0,1
ph-application_1504131676014_6538,3107659.0,172800.0,1
ph-application_1504131676014_6697,3139592.0,172800.0,1
ph-application_1504131676014_9313,3333436.0,2.0,1
ph-application_1504131676014_6930,3165631.0,172800.0,8
ph-application_1504131676014_7142,3185674.0,172800.0,4
ph-application_1504131676014_7144,3185702.0,172800.0,4
ph-application_1504131676014_7149,3185947.0,172800.0,1
ph-application_1504131676014_7616,3233785.0,172800.0,1
ph-application_1504131676014_7647,3237457.0,172800.0,8
ph-application_1504131676014_7697,3245310.0,172800.0,1
ph-application_1504131676014_7699,3245376.0,172800.0,1
ph-application_1504131676014_7700,3245406.0,172800.0,1
ph-application_1504131676014_7751,3246262.0,172800.0,1
ph-application_1504131676014_7756,3246641.0,172800.0,1
ph-application_1504131676014_7873,3248293.0,172800.0,1
ph-application_1504131676014_7874,3248294.0,172800.0,1
ph-application_1504131676014_7916,3248630.0,172800.0,1
ph-application_1504131676014_8071,3250400.0,172800.0,1
ph-application_1504131676014_8072,3250410.0,172800.0,1
ph-application_1504131676014_8266,3254250.0,172800.0,8
ph-application_1504131676014_8803,3267363.0,172800.0,1
ph-application_1504131676014_8925,3281319.0,172800.0,1
ph-application_1504131676014_8942,3282852.0,172800.0,8
ph-application_1504131676014_8951,3284252.0,172800.0,1
ph-application_1504131676014_8980,3288494.0,172800.0,1
ph-application_1504131676014_8981,3288499.0,172800.0,1
ph-application_1504131676014_9045,3307184.0,172800.0,8
ph-application_1504131676014_9048,3307362.0,172800.0,8
ph-application_1504131676014_9084,3314056.0,172800.0,1
ph-application_1504131676014_9209,3316035.0,172800.0,1
ph-application_1504131676014_9217,3316412.0,172800.0,1
ph-application_1504131676014_9218,3316413.0,172800.0,1
ph-application_1504131676014_9226,3317991.0,172800.0,1
ph-application_1504131676014_9227,3318007.0,172800.0,1
ph-application_1504131676014_9246,3322456.0,172800.0,1
ph-application_1504131676014_9247,3322457.0,172800.0,1
ph-application_1504131676014_9272,3328447.0,172800.0,1
ph-application_1504131676014_9292,3331439.0,172800.0,2
ph-application_1504131676014_9297,3332144.0,172800.0,1
ph-application_1504131676014_9299,3332231.0,172800.0,1
ph-application_1504131676014_9300,3332270.0,172800.0,1
ph-application_1504131676014_9301,3332320.0,172800.0,1
ph-application_1504131676014_9304,3332382.0,172800.0,1
ph-application_1504131676014_9312,3333380.0,172800.0,1
ph-application_1504131676014_9331,3337020.0,172800.0,1
ph-application_1504131676014_9370,3339817.0,172800.0,1
ph-application_1504131676014_9414,3343505.0,172800.0,1
ph-application_1504131676014_9420,3344354.0,172800.0,1
ph-application_1504131676014_9425,3344428.0,172800.0,1
ph-application_1504131676014_9426,3344439.0,172800.0,1
ph-application_1504131676014_9427,3344462.0,172800.0,1
ph-application_1504131676014_9429,3344472.0,172800.0,1
ph-application_1504131676014_9430,3344500.0,172800.0,1
ph-application_1504131676014_9431,3344508.0,172800.0,1
ph-application_1504131676014_9432,3344520.0,172800.0,1
ph-application_1504131676014_9434,3344531.0,172800.0,1
ph-application_1504131676014_9435,3344553.0,172800.0,1
ph-application_1504131676014_9436,3344561.0,172800.0,1
ph-application_1504131676014_9437,3344572.0,172800.0,1
ph-application_1504131676014_9438,3344601.0,172800.0,1
ph-application_1504131676014_9439,3344667.0,172800.0,1
ph-application_1504131676014_9442,3344698.0,172800.0,1
ph-application_1504131676014_9444,3344755.0,172800.0,1
ph-application_1504131676014_9448,3345081.0,172800.0,8
ph-application_1504131676014_9453,3345656.0,172800.0,1
ph-application_1504131676014_9460,3346508.0,172800.0,8
ph-application_1504131676014_9471,3348403.0,172800.0,1
ph-application_1504131676014_9565,3363768.0,172800.0,1
ph-application_1504131676014_9566,3363774.0,172800.0,1
ph-application_1504131676014_9567,3363781.0,172800.0,1
ph-application_1504131676014_9568,3363786.0,172800.0,1
ph-application_1504131676014_9569,3363793.0,172800.0,1
ph-application_1504131676014_9570,3363798.0,172800.0,1
ph-application_1504131676014_9571,3363803.0,172800.0,1
ph-application_1504131676014_9572,3363810.0,172800.0,1
ph-application_1504131676014_9573,3363816.0,172800.0,1
ph-application_1504131676014_9711,3370283.0,172800.0,1
ph-application_1504131676014_9865,3393551.0,172800.0,1
ph-application_1504131676014_10088,3397175.0,172800.0,8
ph-application_1504131676014_10102,3397897.0,172800.0,8
ph-application_1504131676014_10328,3423140.0,172800.0,1
ph-application_1504131676014_10330,3423270.0,172800.0,8
ph-application_1504131676014_10332,3423320.0,172800.0,8
ph-application_1504131676014_10336,3423516.0,172800.0,8
ph-application_1504131676014_10369,3430615.0,172800.0,1
ph-application_1504131676014_11324,3612040.0,552.0,8
ph-application_1504131676014_10587,3462589.0,172800.0,8
ph-application_1504131676014_10588,3462604.0,172800.0,8
ph-application_1504131676014_10812,3517088.0,172800.0,1
ph-application_1504131676014_10816,3517391.0,172800.0,1
ph-application_1504131676014_10817,3517416.0,172800.0,1
ph-application_1504131676014_10852,3521561.0,172800.0,1
ph-application_1504131676014_10897,3530654.0,172800.0,1
ph-application_1504131676014_10981,3544005.0,172800.0,1
ph-application_1504131676014_11258,3601156.0,172800.0,1
ph-application_1504131676014_11275,3602901.0,172800.0,1
ph-application_1504131676014_11278,3603276.0,172800.0,1
ph-application_1504131676014_11281,3603544.0,172800.0,1
ph-application_1504131676014_11327,3612154.0,172800.0,8
ph-application_1504131676014_11354,3617860.0,172800.0,8
ph-application_1504131676014_11361,3618018.0,172800.0,1
ph-application_1504131676014_11383,3620768.0,172800.0,1
ph-application_1504131676014_11384,3620774.0,172800.0,1
ph-application_1504131676014_11492,3640484.0,172800.0,1
ph-application_1504131676014_11562,3651658.0,172800.0,4
ph-application_1504131676014_11573,3653114.0,172800.0,4
ph-application_1504131676014_11575,3653198.0,172800.0,1
ph-application_1504131676014_11580,3653861.0,172800.0,1
ph-application_1504131676014_11948,3662915.0,172800.0,1
ph-application_1504131676014_12309,3684720.0,172800.0,1
ph-application_1504131676014_12322,3686640.0,172800.0,1
ph-application_1504131676014_12391,3697419.0,172800.0,4
ph-application_1504131676014_12399,3699844.0,172800.0,1
ph-application_1504131676014_12400,3699850.0,172800.0,1
ph-application_1504131676014_12419,3703473.0,172800.0,8
ph-application_1504131676014_12420,3703476.0,172800.0,8
ph-application_1504131676014_12421,3703506.0,172800.0,8
ph-application_1504131676014_12438,3706370.0,172800.0,1
ph-application_1504131676014_12491,3715559.0,172800.0,1
ph-application_1504131676014_12492,3715559.0,172800.0,1
ph-application_1504131676014_12530,3722543.0,172800.0,1
ph-application_1504131676014_12595,3737172.0,172800.0,8
ph-application_1504131676014_12611,3739329.0,172800.0,1
ph-application_1504131676014_12613,3739331.0,172800.0,1
ph-application_1504131676014_12733,3757230.0,172800.0,1
ph-application_1504131676014_12739,3757604.0,172800.0,8
ph-application_1504131676014_12755,3759719.0,172800.0,1
ph-application_1504131676014_12811,3763253.0,172800.0,2
ph-application_1504131676014_12866,3767443.0,172800.0,8
ph-application_1504131676014_13565,3782624.0,172800.0,1
ph-application_1504131676014_13568,3782684.0,172800.0,1
ph-application_1504131676014_13571,3782891.0,172800.0,1
ph-application_1504131676014_13764,3791971.0,172800.0,1
ph-application_1504131676014_13840,3792845.0,172800.0,8
ph-application_1504131676014_13845,3792868.0,172800.0,8
ph-application_1504131676014_13848,3792881.0,172800.0,8
ph-application_1504131676014_14327,3800070.0,172800.0,1
ph-application_1504131676014_14351,3801326.0,172800.0,1
ph-application_1504131676014_14353,3801435.0,172800.0,1
ph-application_1504131676014_14508,3824709.0,172800.0,8
ph-application_1504131676014_14542,3828222.0,172800.0,1
ph-application_1504131676014_14578,3832715.0,172800.0,4
ph-application_1504131676014_14955,3844928.0,172800.0,1
ph-application_1504131676014_14956,3844935.0,172800.0,1
ph-application_1504131676014_14957,3844941.0,172800.0,1
ph-application_1504131676014_14958,3844949.0,172800.0,1
ph-application_1504131676014_14959,3844955.0,172800.0,1
ph-application_1504131676014_14960,3844962.0,172800.0,1
ph-application_1504131676014_14961,3844969.0,172800.0,1
ph-application_1504131676014_14962,3844975.0,172800.0,1
ph-application_1504131676014_14963,3844982.0,172800.0,1
ph-application_1504131676014_14964,3844989.0,172800.0,1
ph-application_1504131676014_14965,3844996.0,172800.0,1
ph-application_1504131676014_14966,3845003.0,172800.0,1
ph-application_1504131676014_14967,3845010.0,172800.0,1
ph-application_1504131676014_14968,3845017.0,172800.0,1
ph-application_1504131676014_14969,3845023.0,172800.0,1
ph-application_1504131676014_14970,3845029.0,172800.0,1
ph-application_1504131676014_14971,3845036.0,172800.0,1
ph-application_1504131676014_14972,3845042.0,172800.0,1
ph-application_1504131676014_14973,3845048.0,172800.0,1
ph-application_1504131676014_14974,3845056.0,172800.0,1
ph-application_1504131676014_14975,3845064.0,172800.0,1
ph-application_1504131676014_14976,3845070.0,172800.0,1
ph-application_1504131676014_15024,3850878.0,172800.0,2
ph-application_1504131676014_15089,3863640.0,172800.0,1
ph-application_1504131676014_15091,3863706.0,172800.0,1
ph-application_1504131676014_15178,3875717.0,172800.0,4
ph-application_1504131676014_15182,3876174.0,172800.0,1
ph-application_1504131676014_15221,3879849.0,172800.0,8
